movieInfo,title,star,quote
"
导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...
1953 / 美国 / 喜剧剧情爱情


",罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),8.9,爱情哪怕只有一天。
"
导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...
1957 / 美国 / 剧情


",十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,9.3,1957年的理想主义。 
"
导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/鹫尾真知子...
1986 / 日本 / 动画奇幻冒险


",天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,9.0,对天空的追逐，永不停止。 
"
导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...
2010 / 美国 / 剧情喜剧爱情


",怦然心动 / Flipped / 萌动青春  /  青春萌动,8.9,真正的幸福是来自内心深处。
"
导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran
1998 / 英国 / 剧情喜剧犯罪


","两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",9.0,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
"
导演:彼特·道格特PeteDocter   主演:爱德华·阿斯纳EdwardAsner/克...
2009 / 美国 / 剧情喜剧动画奇幻冒险


",飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),8.9,最后那些最无聊的事情，才是最值得怀念的。 
"
导演:LouiePsihoyos   主演:JohnChisholm/Mandy-RaeCruikshank/Char...
2009 / 美国 / 纪录片


",海豚湾 / The Cove / 血色海湾(台)  /  海湾,9.3,海豚的微笑，是世界上最高明的伪装。
"
导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...
1995 / 香港中国大陆 / 喜剧动作爱情奇幻冒险古装


",大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,8.9,旷古烁今。
"
导演:刘伟强/麦兆辉   主演:刘德华/梁朝伟/黄秋生
2002 / 香港 / 犯罪悬疑惊悚


",无间道 / 無間道 / Infernal Affairs,8.9,香港电影史上永不过时的杰作。
"
导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...
1975 / 美国 / 剧情


",飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝  /  飞越喜鹊巢,9.0,自由万岁。
